movieId,directors,actor1,actor2,actor3,actor4,actor5
68189,Aku Louhimies,Samuli Edelmann,Matleena Kuusniemi,Laura Malmivaara,Mikko Kouki,
86240,John Frankenheimer,Eva Marie Saint,Warren Beatty,Karl Malden,Angela Lansbury,Brandon De Wilde
9076,Rainer Matsutani,Christoph M. Ohrt,Katja Riemann,Ulrike Folkerts,Julia Brendler,Felix Eitner
56624,Dietrich Brüggemann,Robert Gwisdek,Jacob Matschenz,Anna Brüggemann,Daniel Drewes,Amelie Kiefer
222715,Makoto Shinkai,Satomi Hanamura,Shinji Ogawa,Shinji Ogawa,,
92968,Andrew Bowler,Michael Nathanson,John Conor Brooke,Emilea Wilson,Hector Diaz,
98612,Jan Schomburg,Sandra Hüller,Georg Friedrich,Felix Knopp,Kathrin Wehlisch,Valery Tscheplanowa
114982,Jean-Luc Godard,Jessica Erickson,Héloïse Godet,Zoé Bruneau,Kamel Abdeli,Richard Chevallier
59298,Masayuki Kojima,Aya Ueto,Hiroyuki Amano,Mayuko Fukuda,Chizuru Ikewaki,Rica Matsumoto
38020,James K. Shea,Mary Appleseth,Derna Wylde,Max Thayer,Chuck Pennington,Charlotte Speer
160704,Ryoo Seung-wan,Ha Jung-woo,Han Seok-kyu,Ryoo Seung-bum,Jun Ji-hyun,Lee Kyoung-young
242452,Yang Woo-Seok,Song Kang-ho,Kim Young-ae,Oh Dal-su,Yim Si-wan,Song Young-chang
118139,William A. Wellman,Edward G. Robinson,Loretta Young,Dudley Digges,Leslie Fenton,Edmund Breese
269165,Günter Gräwert,Heini Göbel,Herbert Bötticher,Siegfried Lowitz,Ernst Fritz Fürbringer,Wolfgang Weiser
185207,Todd Verow,Wendy Delorme,Brenda Velez,Judy Minx,Émilie Jouvet,Véronique Lindenberg
276819,Yoram Gross,Keith Scott,Kim Deacon,Robyn Moore,,
3483,Jesús Franco,Christopher Lee,Richard Greene,Howard Marion-Crawford,Götz George,Maria Rohm
63139,Mario Van Peebles,Ray Liotta,50 Cent,Mario Van Peebles,Lynn Whitfield,Ambyr Childers
44678,Kaare Andrews,Jessica Lowndes,Julianna Guill,Ryan Donowho,Landon Liboiron,Mike Dopud
19254,Gerald Thomas,Sid James,Hattie Jacques,Kenneth Connor,Charles Hawtrey,Esma Cannon
19300,Gerald Thomas,Elke Sommer,Kenneth Williams,Bernard Bresslaw,Kenneth Connor,Jack Douglas
26190,Gerald Thomas,Sid James,Kenneth Williams,Kenneth Connor,Liz Fraser,Dilys Laye
61411,Richard Fleischer,Omar Sharif,Jack Palance,Woody Strode,Cesare Danova,Rodolfo Acosta
47212,Abel Ferrara,James Russo,Richard Panebianco,David Caruso,Sari Chang,Russell Wong
88359,Aram Avakian,Cliff Gorman,Joseph Bologna,Charlene Dallas,,
25441,Jerry Paris,Dick Van Dyke,Edward G. Robinson,Dorothy Provine,Henry Silva,Tony Bill
47891,Mark Vadik,Brian Krause,Danielle Harris,Lance Henriksen,Anne Leighton,Kim Rhodes
114286,Henning Carlsen,Geraldine Chaplin,Ángela Molina,Dominika Paleta,Alejandra Barros,Emilio Echevarría
234567,Lauren MacMullan,Walt Disney,Marcellite Garner,Billy Bletcher,Will Ryan,Russi Taylor
277432,Farah Khan,Shah Rukh Khan,Deepika Padukone,Abhishek Bachchan,Jackie Shroff,Boman Irani
46967,Shannon Hartman,Bill Burr,,,,
23338,Joseph H. Lewis,Leo Gorcey,Bobby Jordan,Kenneth Howell,Mary Ainslee,Bobby Stone
63472,Douglas McGrath,Ellen Barkin,James Caan,Andy García,Elliott Gould,Ralph Macchio
209369,Fritz Kiersch,Anthony Michael Hall,Michael Paré,Deborah Moore,Terry Kiser,Brian Haley
177566,Mark Atkins,Ben Cross,Jane March,Jamie Atkins,Vicki Glover,Tanya Winsor
113237,Alfred L. Werker,Beatrice Pearson,Mel Ferrer,Susan Douglas Rubes,Robert A. Dunn,Richard Hylton
23178,Larry Peerce,Susan Walters,Dale Midkiff,Jon Cypher,Billy Green Bush,Anne Haney
86131,Larry Peerce,Mel Harris,Dwight Schultz,Ashley Peldon,Mariette Hartley,Johannah Newmarch
61550,Larry Peerce,Erik von Detten,Robert Hays,Bess Armstrong,Yvonne Zima,Robert Curtis Brown
15671,Stephen Herek,Ashley Tisdale,Robbie Amell,Kevin Pollak,Shenae Grimes,Lauren Collins
174594,Sidney Franklin,Norma Talmadge,Ralph Lewis,Ninon Fovieri,Francis Carpenter,Fern Collier
64084,Andrew Stevens,Shannon Tweed,Andrew Stevens,Kim Morgan Greene,Daniel McVicar,Michael D. Arenz
58231,Phil Dornfeld,Nicholas D'Agosto,Josh Gad,Bret Harrison,Danneel Ackles,Arielle Kebbel
86901,William Beaudine,John Carradine,Claudia Drake,Robert Shayne,Maris Wrixon,Willie Best
68659,John Frankenheimer,Omar Sharif,Leigh Taylor-Young,Jack Palance,Peter Jeffrey,Srinanda De
147764,Elia Petridis,Ernest Borgnine,Barry Corbin,Carla Ortiz,Arturo del Puerto,June Squibb
109161,Roger Young,Michael Keaton,Rae Dawn Chong,Joe Pantoliano,Danny Aiello III,Ronald Guttman
237925,Antonio Margheriti,Lee Van Cleef,Karen Black,Edward Albert,Lionel Stander,Robert Alda
15558,Eric Eason,Brendan Fraser,Yasiin Bey,Scott Glenn,Alice Braga,Catalina Sandino Moreno
29077,Franc Roddam,Sting,Jennifer Beals,Anthony Higgins,Clancy Brown,David Rappaport
38157,Chris Angel,Michael Trucco,Tara Spencer-Nairn,Jason Thompson,John Novak,John Benjamin Martin
91979,Ellen Perry,Damian Lewis,Bob Hoskins,Rebekah Staton,Perry Eggleton,
243568,Nick Gomez,Christina Ricci,Clea DuVall,Gregg Henry,Stephen McHattie,Shawn Doyle
31179,Michael Pate,Piper Laurie,Mel Gibson,Alwyn Kurts,Pat Evison,Peter Gwynne
36251,David Steinberg,Mary-Kate Olsen,Ashley Olsen,Kathryn Greenwood,Trevor Blumas,Joe Grifasi
32845,David DeFalco,Stormy Daniels,Ja Rule,Dave Bautista,Rob Van Dam,Christine Bently
29083,John Shepphird,Jim Varney,Corey Haim,Brigitte Nielsen,Joe Flaherty,Andreas Apergis
111443,Jorge Torregrossa,Maribel Verdú,Daniel Grao,Clara Lago,Blanca Romero,Andrés Velencoso
47914,J. Lee Thompson,Charles Bronson,Jack Warden,Will Sampson,Kim Novak,Clint Walker
42185,Bob Misiorowski,Casper Van Dien,Ernie Hudson,Bentley Mitchum,Jenny McShane,Cordell McQueen
14862,Jeff Fisher,Paul Wesley,Kaley Cuoco,Jason London,Leighton Meester,Nestor Carbonell
26817,Richard Quine,Tony Curtis,Natalie Wood,Henry Fonda,Lauren Bacall,Mel Ferrer
13903,Jeremy Kasten,Bijou Phillips,Crispin Glover,Brad Dourif,Kip Pardue,Jeffrey Combs
41275,Richard Clabaugh,Frayne Rosanoff,Robert Englund,Casper Van Dien,William Zabka,Dana Barron
269495,Samuli Valkama,Anu Sinisalo,Ville Virtanen,Wanda Dubiel,Rosa Salomaa,
229839,Steven R. Monroe,Cassi Thomson,Graham Wardle,Kaitlyn Wong,Jesse Wheeler,Tom Stevens   
254188,Nicholas McCarthy,Naya Rivera,Catalina Sandino Moreno,Ashley Rickards,Kate Flannery,Ava Acres
167683,Bruno Barreto,Miranda Otto,Glória Pires,Tracy Middendorf,Treat Williams,Marcello Airoldi
215931,Gita Pullapilly,Emory Cohen,Callan McAuliffe,Zoe Levin,Carrie Preston,Aidan Gillen
4344,Sonja Heiss,Svenja Steinfelder,Eva Löbau,Chris O'Dowd,Ricky Champ,Gareth Llewelyn
3539,Hendrik Hölzemann,Matthias Schweighöfer,Jessica Schwarz,Florian Lukas,Bibiana Beglau,Volker Spengler
12115,Philip Gröning,Sabine Timoteo,Florian Stetter,Dierk Prawdzik,Michael Schech,
80472,Raimo O. Niemi,Joonas Makkonen,Pihla Maalismaa,Risto Salmi,Kari Heiskanen,Antti Virmavirta
48193,Alfonso Brescia,Miles O'Keeffe,Savina Geršak,Elisabeth Kaza,Iris Peynado,Tim Lane
260872,Alfonso Brescia,Mario Merola,Antonio Sabàto,Gianni Garko,Jeff Blynn,Edmund Purdom
292133,Alfonso Brescia,John Richardson,Yanti Somer,Walter Maestosi,Gaetano Balestrieri,Gisela Hahn
47605,Alfonso Brescia,John Richardson,Yanti Somer,West Buchanan,Katia Christine,Vassili Karis
168320,Daniel Borgman,Demos Murphy,Matthew Sunderland,Catherine Wilkin,Angelina Cottrell,Hannah Jones
158013,Alfonso Brescia,Robert Woods,Ignazio Spalla,Malisa Longo,Claudio Undari,
67298,Ken Russell,Roger Daltrey,Sara Kestelman,Paul Nicholas,Ringo Starr,Rick Wakeman
29352,Alfonso Brescia,Aldo Canti,Marc Hannibal,Elliot Ngok,Malisa Longo,Aldo Bufi Landi
96106,Alfonso Brescia,Lincoln Tate,Paola Tedesco,Mirta Miller,Benito Stefanelli,Genie Woods
105083,Alfonso Brescia,Giorgio Ardisson,Françoise Prévost,Eduardo Fajardo,Orchidea de Santis,
211179,Alfonso Brescia,Mark Forest,Marilù Tolo,Paolo Gozlino,Jolanda Modio,Franco Cobianchi
112481,John McCauley,Sam Chew Jr.,Elisabeth Chauvet,Dan Priest,Ronald Gold,Al Dunlap
240334,Andrea Tonacci,Paulo Gracindo,Nelson Xavier,Irma Álvarez,,
48594,Guillem Morales,Andoni Gracia,Mónica López,Francesc Garrido,Agustí Villaronga,Minnie Marx
216440,Mariana Chenillo,Andrés Almeida,Daniela Rincón,Camila Selser,Beatriz Moreno,José Sefami
276120,Carlye Rubin,Jane Fonda,Rosie O'Donnell,Molly Shannon,,
317247,Tim Nicholls,Nicholas Hope,,,,
287169,Joseph Henabery,Donald Meek,John Hamilton,Robert Middlemass,Thelma Tipson,Walter Fenner
70738,William A. Wellman,Loretta Young,Ricardo Cortez,Franchot Tone,Andy Devine,Una Merkel
58448,Anne Wheeler,Steve Austin,Daniel Magder,Janet Kidder,Emma Grabinsky,Jaren Brandt Bartlett
295689,Jules White,Pete Smith,Theodore Lorch,,,
174442,Hugh Harman,Rochelle Hudson,Carman Maxwell,,,
201783,Eddie Alcazar,Johnny Tapia,,,,
151509,Jim Swaffield,R. Kelly,LeShay N. Tomlinson,Rolando Boyce,Michael Kenneth Williams,Cat Wilson
247691,Philip Dunne,Ray Milland,Ernest Borgnine,Frank Lovejoy,Nina Foch,Virginia Christine
262176,Herbert Brenon,Warner Baxter,Lois Wilson,Neil Hamilton,Georgia Hale,William Powell
218582,Ray Enright,Eddie Albert,Joan Leslie,Jane Darwell,Alan Hale,Anthony Quinn
79631,Marcel Pagnol,Henri Poupon,André Pollack,Annie Toinon,Thommeray,Jean Castan
167882,Don Chaffey,Marie Osmond,Timothy Bottoms,Bethel Leslie,June Lockhart,Donald Moffat
257925,Kunio Watanabe,Kazuo Hasegawa,Shintarô Katsu,Raizô Ichikawa,Machiko Kyô,Fujiko Yamamoto
